,SiteEnergyUseWN(kBtu),TotalGHGEmissions,log-SiteEnergyUseWN(kBtu),log-TotalGHGEmissions
3949,7950907.5,151.95,15.888796756830986,5.030111070596912
3950,998760.875,6.43,13.814271665854266,2.005525858729668
3951,2696894.5,17.41,14.807611854615537,2.9128939952449864
3952,876062.3125,5.7,13.68319364185023,1.9021075263969205
3953,488751.0938,20.09,13.099610674262307,3.0487989944906833
3954,1195324.5,7.85,13.993929091194945,2.180417459019838
3955,2630929.5,18.34,14.782848143862047,2.9621754900251482
3956,2065719.625,13.97,14.540989694445383,2.706048198431537
3957,10196231.0,290.88,16.13752879824046,5.67634275889742
3958,541300.3125,3.53,13.2017313575004,1.5107219394949425
3959,961310.625,25.13,13.776053906979852,3.263084079532521
3960,788592.5,4.95,13.57800625793671,1.7833912195575383
3961,1175914.875,7.56,13.977557870018023,2.1471001901536506
3962,1506510.25,10.01,14.225307105164836,2.3988039507345884
3963,5381105.0,37.51,15.498404487218252,3.6509179478268177
3964,3999505.25,128.41,15.20168147396513,4.862985658833579
3965,2143122.25,50.07,14.577774785634393,3.9331972406595526
3966,2001525.875,46.51,14.509420884754046,3.86094021519883
3967,1961581.5,13.67,14.489262103395491,2.6858045921548905
3968,2745007.5,25.09,14.825294729460136,3.261552099148637
3969,1270392.125,40.96,14.054836957779004,3.7367167835280966
3970,4377787.5,91.53,15.292054246167522,4.527532916260939
3971,9291482.0,218.99,16.044608732064937,5.393582090773818
3972,1524858.875,42.45,14.23741307855604,3.7716108517114013
3973,1093844.75,7.21,13.905210255679451,2.105352923464337
3974,1651553.75,54.24,14.317227674943767,4.0116873285410914
3975,1986425.5,13.05,14.501847853803982,2.642622395779755
3976,880687.3125,19.51,13.688459054011728,3.0209125720842893
3977,1808592.0,37.08,14.408059752884034,3.6396892099231644
3978,309214.0,8.59,12.6417921068085,2.2607208888953467
3979,1301418.875,9.26,14.078966437941158,2.3282528397426234
3980,2085718.125,22.48,14.550624257826039,3.1561489949598958
3981,1157976.5,8.07,13.962185506874498,2.2049722641270453
